150 Inflation Regency/Municipality (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer Price Index of Health Group and Sub (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health,,,,,,,,,,,,,Medicines and Health Products,,,,,,,,,,,,,Outpatient Services,,,,,,,,,,,,,Inpatient Services,,,,,,,,,,,,,Other Health Services,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually
KAB ACEH TENGAH,108.27,108.41,108.32,110.5,109.13,110.23,110.65,110.63,110.88,112.48,111.97,115.86,-,112.57,112.06,111.86,115.27,113.13,114.85,115.5,115.48,115.71,117.83,117.02,123.11,-,100.45,101.86,101.95,101.95,101.95,101.95,101.95,101.95,102.25,102.97,102.97,102.97,-,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MEULABOH,112.92,115.13,116.53,116.53,116.63,116.63,116.69,116.67,117.78,118.8,118.97,118.97,-,119.26,122.76,124.98,124.98,125.14,125.14,125.24,125.2,126.96,128.57,128.84,128.84,-,100,100,100,100,100,100,100,100,100,100,100,100,-,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,-,115.52,115.52,115.52,115.52,115.52,115.52,115.52,115.52,115.52,115.52,115.52,115.52,-
KAB ACEH TAMIANG,108.35,108.35,108.35,108.35,108.35,108.35,108.35,108.35,109.31,109.31,109.97,110.93,-,109.9,109.9,109.9,109.9,109.9,109.9,109.9,109.9,111.47,111.47,112.56,114.13,-,106.34,106.34,106.34,106.34,106.34,106.34,106.34,106.34,106.34,106.34,106.34,106.34,-,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,105.28,105.6,105.77,106.18,106.18,106.16,106.61,107.69,108.67,108.67,109.44,109.18,-,107.51,108.19,108.55,108.6,108.6,108.57,109.51,111.76,111.76,111.76,113.37,112.82,-,103.26,103.26,103.26,104.43,104.43,104.43,104.43,104.43,105.14,105.14,105.14,105.14,-,100,100,100,100,100,100,100,100,100,100,100,100,-,112,112,112,111.99,111.99,111.99,111.99,111.99,126.56,126.56,126.56,126.56,-
KOTA LHOKSEUMAWE,102.43,102.43,102.97,102.97,104.44,104.46,104.46,104.5,104.5,104.5,104.5,104.5,-,103.76,103.76,104.83,104.83,107.71,107.71,107.71,107.71,107.71,107.71,107.71,107.71,-,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,-,100,100,100,100,100,100,100,100,100,100,100,100,-,109.69,109.69,109.69,109.69,109.69,112.13,112.13,115.21,115.21,115.21,115.21,115.21,-
KAB LABUHANBATU,113,113,113.32,116.3,116.57,116.57,117.56,120.09,120.11,121.25,121.25,121.98,-,122.33,122.33,122.8,123.49,123.99,123.99,124.71,125.14,125.18,125.18,125.18,124.99,-,102.74,102.74,102.94,102.94,102.94,102.94,104.92,112.42,112.42,116.14,116.14,116.83,-,100,100,100,120.73,120.73,120.73,120.73,120.73,120.73,120.73,120.73,120.73,-,105.23,105.23,105.23,105.23,105.23,105.23,105.23,105.23,105.23,105.23,105.23,125.93,-
KAB KARO,100.91,100.91,100.91,100.91,100.86,100.86,100.86,104.57,103.87,103.87,103.87,103.12,-,100.64,100.64,100.64,100.64,100.56,100.56,100.56,107.12,105.87,105.87,105.87,104.55,-,101.55,101.55,101.55,101.55,101.55,101.55,101.55,101.55,101.55,101.55,101.55,101.55,-,101.64,101.64,101.64,101.64,101.64,101.64,101.64,101.73,101.73,101.73,101.73,101.73,-,100,100,100,100,100,100,100,100,100,100,100,100,-
KAB DELI SERDANG,106.4,106.4,106.8,106.8,106.9,106.9,106.92,106.92,107.06,107.06,107.06,107.07,-,109.54,109.54,110.44,110.44,110.67,110.67,110.71,110.71,111.02,111.02,111.02,111.04,-,107.01,107.01,107.01,107.01,107.01,107.01,107.01,107.01,107.01,107.01,107.01,107.01,-,100,100,100,100,100,100,100,100,100,100,100,100,-,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,-
KOTA SIBOLGA,120.82,120.82,120.82,120.82,120.82,120.82,120.82,120.82,120.82,120.82,120.82,122.04,-,108.15,108.15,108.15,108.15,108.15,108.15,108.15,108.15,108.15,108.15,108.15,108.15,-,118.17,118.17,118.17,118.17,118.17,118.17,118.17,118.17,118.17,118.17,118.17,122.63,-,151.15,151.15,151.15,151.15,151.15,151.15,151.15,151.15,151.15,151.15,151.15,151.15,-,100,100,100,100,100,100,100,100,100,100,100,100,-
KOTA PEMATANGSIANTAR,113.1,115.42,116.45,116.45,116.45,116.41,116.41,117.17,117.17,117.32,117.5,117.76,-,109.43,110.69,110.76,110.76,110.76,110.68,110.68,112.16,112.16,112.45,112.81,113.31,-,116.76,120.69,121.38,121.38,121.38,121.38,121.38,121.38,121.38,121.38,121.38,121.38,-,112.02,115.7,121,121,121,121,121,121,121,121,121,121,-,133.17,133.17,133.17,133.17,133.17,133.17,133.17,133.17,133.17,133.17,133.17,133.17,-
KOTA MEDAN,103.13,103.13,103.52,103.55,103.64,103.59,103.59,103.6,103.87,105.62,105.52,105.8,-,103.74,103.74,103.33,103.38,103.56,103.46,103.46,103.49,104.01,107.37,107.18,106.96,-,101.57,101.57,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,-,100,100,100,100,100,100,100,100,100,100,100,100,-,113.62,113.62,113.62,113.62,113.62,113.62,113.62,113.62,113.62,113.62,113.62,120.14,-
KOTA PADANGSIDIMPUAN,106.63,106.74,106.7,106.87,107.33,107.35,107.71,111.57,111.62,111.64,111.79,111.79,-,109,109.3,109.2,109.67,110.93,110.98,111.98,112.73,112.88,112.94,113.35,113.35,-,106.66,106.66,106.66,106.66,106.66,106.66,106.66,106.66,106.66,106.66,106.66,106.66,-,101.88,101.88,101.88,101.88,101.88,101.88,101.88,124.75,124.75,124.75,124.75,124.75,-,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,-
KOTA GUNUNGSITOLI,107.8,135.51,135.47,135.43,135.43,135.46,135.42,136.55,136.55,135.42,135.42,135.42,-,103.06,103.06,102.99,102.92,102.92,102.96,102.89,104.99,104.99,102.89,102.89,102.89,-,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,-,100,198.24,198.24,198.24,198.24,198.24,198.24,198.24,198.24,198.24,198.24,198.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,102.31,102.31,102.31,102.31,102.31,102.31,102.42,102.42,102.42,102.42,102.6,102.6,-,103.32,103.32,103.32,103.32,103.32,103.32,103.63,103.63,103.63,103.63,103.78,103.78,-,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.98,102.98,-,100,100,100,100,100,100,100,100,100,100,100,100,-,100,100,100,100,100,100,100,100,100,100,100,100,-
KAB PASAMAN BARAT,105.96,105.96,106.12,106.2,106.23,106.27,106.32,106.36,106.39,106.6,106.6,106.6,-,105.37,105.37,105.83,106.09,106.16,106.29,106.44,106.54,106.64,106.64,106.64,106.64,-,109.26,109.26,109.26,109.26,109.26,109.26,109.26,109.26,109.26,109.26,109.26,109.26,-,100,100,100,100,100,100,100,100,100,100,100,100,-,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,105.77,105.77,105.77,-
KOTA PADANG,105.2,105.21,105.19,105.19,105.2,105.25,105.25,105.34,105.35,105.35,105.4,105.4,-,102.96,102.99,102.91,102.91,102.95,103.13,103.13,103.44,103.47,103.47,103.63,103.63,-,110.51,110.51,110.51,110.51,110.51,110.51,110.51,110.51,110.51,110.51,110.51,110.51,-,104.92,104.92,104.92,104.92,104.92,104.92,104.92,104.92,104.92,104.92,104.92,104.92,-,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,-
KOTA BUKITTINGGI,107.31,108.66,108.97,109.39,109.39,109.39,109.44,109.44,109.44,110.15,110.15,110.15,-,106.84,107.09,107.26,108.83,108.83,108.83,108.99,108.99,108.99,107.42,107.42,107.42,-,104.55,104.55,105.35,105.35,105.35,105.35,105.35,105.35,105.35,105.35,105.35,105.35,-,109.92,113.3,113.3,113.3,113.3,113.3,113.3,113.3,113.3,116.31,116.31,116.31,-,108.74,108.74,108.74,108.74,108.74,108.74,108.74,108.74,108.74,108.74,108.74,108.74,-
TEMBILAHAN,105.03,108.16,108.16,108.24,108.38,108.38,108.47,107.67,107.61,107.61,107.39,107.39,-,102.03,102.16,102.16,102.34,102.66,102.66,102.86,101.08,100.94,100.94,100.45,100.45,-,109.03,113.43,113.43,113.43,113.43,113.43,113.43,113.43,113.43,113.43,113.43,113.43,-,100,111.1,111.1,111.1,111.1,111.1,111.1,111.1,111.1,111.1,111.1,111.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,106.13,106.13,106.83,106.83,106.94,106.94,106.94,106.94,106.97,107.13,107.45,107.57,-,105.37,105.37,106.79,106.8,107.02,107.02,107.02,107.02,107.08,107.42,108.08,108.32,-,112.51,112.51,112.51,112.51,112.51,112.51,112.51,112.51,112.51,112.51,112.51,112.51,-,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,104.13,104.27,104.43,104.46,104.46,104.46,104.52,105.33,105.41,105.42,105.06,105.06,-,103.78,104.15,104.57,104.64,104.64,104.64,104.64,104.64,103.87,103.9,102.98,102.98,-,103.31,103.31,103.31,103.31,103.31,103.31,103.31,103.31,103.31,103.31,103.31,103.31,-,104.94,104.94,104.94,104.94,104.94,104.94,104.94,106.96,107.89,107.89,107.89,107.89,-,102.33,102.33,102.33,102.33,102.33,102.33,105.25,105.25,105.25,105.25,105.25,105.25,-
KOTA DUMAI,106.2,106.24,106.24,106.6,106.59,106.81,106.88,106.93,106.86,106.91,107.02,107.02,-,105.81,105.89,105.89,106.56,106.53,106.96,107.08,107.17,107.05,107.14,107.34,107.34,-,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,-,115.98,115.98,115.98,115.98,115.98,115.98,115.98,115.98,115.98,115.98,115.98,115.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-
